0.163||0.204||0.0
0.207||0.189||0.01667
0.249||0.18||0.03333
0.293||0.173||0.05
0.335||0.169||0.06667
0.378||0.169||0.08333
0.421||0.17||0.1
0.463||0.174||0.11667
0.502||0.181||0.13333
0.545||0.194||0.15
0.584||0.207||0.16667
0.626||0.223||0.18333
0.665||0.241||0.2
0.707||0.263||0.21667
0.746||0.288||0.23333
0.786||0.316||0.25
0.825||0.345||0.26667
0.862||0.378||0.28333
0.9||0.413||0.3
0.941||0.451||0.31667
0.983||0.495||0.33333
1.019||0.539||0.35
1.058||0.587||0.36667
1.098||0.638||0.38333
1.137||0.691||0.4
1.176||0.75||0.41667
