0.144||0.298||0.0
0.189||0.281||0.01667
0.233||0.268||0.03333
0.279||0.257||0.05
0.322||0.249||0.06667
0.366||0.246||0.08333
0.412||0.243||0.1
0.453||0.246||0.11667
0.499||0.249||0.13333
0.541||0.256||0.15
0.584||0.266||0.16667
0.627||0.279||0.18333
0.668||0.294||0.2
0.708||0.312||0.21667
0.751||0.334||0.23333
0.791||0.357||0.25
0.832||0.383||0.26667
0.873||0.411||0.28333
0.913||0.444||0.3
0.954||0.477||0.31667
0.994||0.516||0.33333
1.038||0.56||0.35
1.079||0.605||0.36667
1.118||0.649||0.38333
1.16||0.7||0.4
1.2||0.755||0.41667
