0.174||0.221||0.0
0.222||0.209||0.01667
0.268||0.198||0.03333
0.315||0.192||0.05
0.361||0.187||0.06667
0.405||0.188||0.08333
0.45||0.191||0.1
0.495||0.196||0.11667
0.54||0.204||0.13333
0.585||0.216||0.15
0.628||0.231||0.16667
0.67||0.246||0.18333
0.714||0.268||0.2
0.757||0.29||0.21667
0.8||0.314||0.23333
0.841||0.342||0.25
0.883||0.372||0.26667
0.924||0.406||0.28333
0.964||0.441||0.3
1.008||0.481||0.31667
1.05||0.523||0.33333
1.089||0.568||0.35
1.133||0.62||0.36667
1.175||0.672||0.38333
1.214||0.728||0.4
1.256||0.786||0.41667
