0.344||0.454||0.0
0.405||0.442||0.01667
0.445||0.448||0.03333
0.425||0.473||0.05
0.481||0.473||0.06667
0.555||0.464||0.08333
0.585||0.472||0.1
0.59||0.494||0.11667
0.617||0.505||0.13333
0.639||0.519||0.15
0.715||0.51||0.16667
0.753||0.525||0.18333
0.791||0.537||0.2
0.82||0.551||0.21667
0.77||0.479||0.23333
0.823||0.605||0.25
0.854||0.477||0.26667
0.958||0.62||0.28333
0.92||0.515||0.3
0.949||0.532||0.31667
0.914||0.632||0.35
0.95||0.66||0.36667
0.984||0.683||0.38333
1.019||0.709||0.4
1.056||0.737||0.41667
1.084||0.755||0.43333
1.117||0.787||0.45
