0.15||0.151||0.0
0.19||0.129||0.01667
0.229||0.112||0.03333
0.268||0.096||0.05
0.307||0.084||0.06667
0.347||0.072||0.08333
0.385||0.066||0.1
0.425||0.062||0.11667
0.461||0.061||0.13333
0.5||0.062||0.15
0.539||0.067||0.16667
0.578||0.074||0.18333
0.617||0.083||0.2
0.656||0.097||0.21667
0.693||0.113||0.23333
0.733||0.131||0.25
0.771||0.154||0.26667
0.809||0.178||0.28333
0.847||0.206||0.3
0.886||0.237||0.31667
0.925||0.269||0.33333
0.962||0.306||0.35
1.001||0.346||0.36667
1.039||0.388||0.38333
1.077||0.436||0.4
1.119||0.488||0.41667
1.158||0.542||0.43333
1.198||0.599||0.45
1.205||0.621||0.46667
1.277||0.722||0.48333
1.317||0.791||0.5
